,Unnamed: 0,topic,fre,keywords
0,0,1,0.131,people 
1,1,1,0.075,work 
2,2,1,0.045,benefit 
3,3,1,0.041,scheme 
4,4,1,0.028,government 
5,5,1,0.025,pension 
6,6,1,0.021,worker 
7,7,1,0.02,support 
8,8,1,0.017,system 
9,9,1,0.017,employment 
10,10,1,0.016,number 
11,11,1,0.015,job 
12,12,1,0.014,change 
13,13,1,0.013,employer 
14,14,1,0.012,pay 
15,15,1,0.011,group 
16,16,1,0.01,pensioner 
17,17,1,0.01,time 
18,18,1,0.01,measure 
19,19,1,0.01,allowance
20,20,2,0.06,country 
21,21,2,0.026,people 
22,22,2,0.02,defence 
23,23,2,0.019,force 
24,24,2,0.019,water 
25,25,2,0.018,security 
26,26,2,0.017,man 
27,27,2,0.017,situation 
28,28,2,0.017,world 
29,29,2,0.013,event 
30,30,2,0.012,action 
31,31,2,0.012,house 
32,32,2,0.012,end 
33,33,2,0.011,coal 
34,34,2,0.011,nation 
35,35,2,0.011,part 
36,36,2,0.01,day 
37,37,2,0.01,today 
38,38,2,0.01,year 
39,39,2,0.01,hand
40,40,3,0.097,government 
41,41,3,0.085,year 
42,42,3,0.044,tax 
43,43,3,0.04,money 
44,44,3,0.039,rate 
45,45,3,0.034,increase 
46,46,3,0.027,figure 
47,47,3,0.025,council 
48,48,3,0.025,budget 
49,49,3,0.022,cost 
50,50,3,0.021,level 
51,51,3,0.02,expenditure 
52,52,3,0.019,income 
53,53,3,0.017,grant 
54,54,3,0.017,cut 
55,55,3,0.015,reduction 
56,56,3,0.014,amount 
57,57,3,0.014,spending 
58,58,3,0.012,fund 
59,59,3,0.011,capital
60,60,4,0.077,government 
61,61,4,0.065,people 
62,62,4,0.052,party 
63,63,4,0.032,issue 
64,64,4,0.026,election 
65,65,4,0.023,labour 
66,66,4,0.023,leader 
67,67,4,0.022,time 
68,68,4,0.022,vote 
69,69,4,0.015,thing 
70,70,4,0.014,opposition 
71,71,4,0.014,support 
72,72,4,0.011,colleague 
73,73,4,0.01,argument 
74,74,4,0.01,word 
75,75,4,0.01,side 
76,76,4,0.009,member 
77,77,4,0.009,campaign 
78,78,4,0.009,idea 
79,79,4,0.008,respect
80,80,5,0.223,friend 
81,81,5,0.104,question 
82,82,5,0.088,point 
83,83,5,0.047,matter 
84,84,5,0.046,issue 
85,85,5,0.044,statement 
86,86,5,0.029,answer 
87,87,5,0.025,concern 
88,88,5,0.021,lady 
89,89,5,0.017,view 
90,90,5,0.015,comment 
91,91,5,0.011,constituent 
92,92,5,0.01,advice 
93,93,5,0.009,position 
94,94,5,0.009,member 
95,95,5,0.009,reply 
96,96,5,0.008,mind 
97,97,5,0.008,moment 
98,98,5,0.007,airport 
99,99,5,0.007,letter
100,100,6,0.055,company 
101,101,6,0.052,business 
102,102,6,0.025,government 
103,103,6,0.025,price 
104,104,6,0.022,market 
105,105,6,0.02,interest 
106,106,6,0.017,energy 
107,107,6,0.016,consumer 
108,108,6,0.013,bank 
109,109,6,0.013,cost 
110,110,6,0.013,measure 
111,111,6,0.013,time 
112,112,6,0.012,contract 
113,113,6,0.011,competition 
114,114,6,0.011,management 
115,115,6,0.011,sale 
116,116,6,0.011,privatisation 
117,117,6,0.01,share 
118,118,6,0.01,account 
119,119,6,0.009,gas
120,120,7,0.053,community 
121,121,7,0.046,area 
122,122,7,0.03,development 
123,123,7,0.028,problem 
124,124,7,0.026,housing 
125,125,7,0.025,constituency 
126,126,7,0.025,programme 
127,127,7,0.017,home 
128,128,7,0.017,region 
129,129,7,0.015,project 
130,130,7,0.015,plan 
131,131,7,0.014,friend 
132,132,7,0.014,building 
133,133,7,0.013,part 
134,134,7,0.013,population 
135,135,7,0.013,facility 
136,136,7,0.012,authority 
137,137,7,0.012,land 
138,138,7,0.012,environment 
139,139,7,0.011,site
140,140,8,0.063,industry 
141,141,8,0.061,policy 
142,142,8,0.042,country 
143,143,8,0.038,government 
144,144,8,0.035,year 
145,145,8,0.034,job 
146,146,8,0.033,investment 
147,147,8,0.031,economy 
148,148,8,0.028,sector 
149,149,8,0.024,trade 
150,150,8,0.02,world 
151,151,8,0.016,growth 
152,152,8,0.013,problem 
153,153,8,0.013,unemployment 
154,154,8,0.011,market 
155,155,8,0.009,business 
156,156,8,0.009,export 
157,157,8,0.008,employment 
158,158,8,0.008,production 
159,159,8,0.008,technology
160,160,9,0.081,government 
161,161,9,0.058,decision 
162,162,9,0.051,minister 
163,163,9,0.042,state 
164,164,9,0.042,report 
165,165,9,0.033,information 
166,166,9,0.028,secretary 
167,167,9,0.021,office 
168,168,9,0.02,review 
169,169,9,0.016,word 
170,170,9,0.014,response 
171,171,9,0.014,assessment 
172,172,9,0.014,responsibility 
173,173,9,0.013,matter 
174,174,9,0.013,impact 
175,175,9,0.013,principle 
176,176,9,0.012,department 
177,177,9,0.011,reform 
178,178,9,0.011,document 
179,179,9,0.011,record
180,180,10,0.328,member 
181,181,10,0.085,debate 
182,182,10,0.053,house 
183,183,10,0.034,friend 
184,184,10,0.034,parliament 
185,185,10,0.033,opposition 
186,186,10,0.025,speech 
187,187,10,0.015,today 
188,188,10,0.013,fact 
189,189,10,0.013,hope 
190,190,10,0.013,opportunity 
191,191,10,0.013,side 
192,192,10,0.012,matter 
193,193,10,0.012,tonight 
194,194,10,0.009,contribution 
195,195,10,0.009,occasion 
196,196,10,0.009,minute 
197,197,10,0.009,importance 
198,198,10,0.009,remark 
199,199,10,0.009,point
200,200,11,0.084,case 
201,201,11,0.036,law 
202,202,11,0.035,police 
203,203,11,0.024,court 
204,204,11,0.02,person 
205,205,11,0.015,crime 
206,206,11,0.015,evidence 
207,207,11,0.015,officer 
208,208,11,0.013,inquiry 
209,209,11,0.013,action 
210,210,11,0.01,offence 
211,211,11,0.009,investigation 
212,212,11,0.009,prison 
213,213,11,0.009,circumstance 
214,214,11,0.008,appeal 
215,215,11,0.008,risk 
216,216,11,0.008,prosecution 
217,217,11,0.008,justice 
218,218,11,0.008,press 
219,219,11,0.008,test
220,220,12,0.061,school 
221,221,12,0.038,education 
222,222,12,0.031,government 
223,223,12,0.029,child 
224,224,12,0.02,number 
225,225,12,0.02,training 
226,226,12,0.018,place 
227,227,12,0.016,level 
228,228,12,0.016,system 
229,229,12,0.016,parent 
230,230,12,0.015,teacher 
231,231,12,0.014,time 
232,232,12,0.014,student 
233,233,12,0.014,opportunity 
234,234,12,0.013,problem 
235,235,12,0.011,standard 
236,236,12,0.011,university 
237,237,12,0.01,state 
238,238,12,0.01,institution 
239,239,12,0.009,provision
240,240,13,0.04,proposal 
241,241,13,0.032,change 
242,242,13,0.03,regulation 
243,243,13,0.026,agreement 
244,244,13,0.022,part 
245,245,13,0.021,point 
246,246,13,0.02,process 
247,247,13,0.019,view 
248,248,13,0.018,interest 
249,249,13,0.018,number 
250,250,13,0.018,discussion 
251,251,13,0.016,deal 
252,252,13,0.016,measure 
253,253,13,0.015,consultation 
254,254,13,0.014,arrangement 
255,255,13,0.013,position 
256,256,13,0.012,rule 
257,257,13,0.012,basis 
258,258,13,0.011,matter 
259,259,13,0.011,practice
260,260,14,0.058,time 
261,261,14,0.05,child 
262,262,14,0.05,year 
263,263,14,0.046,family 
264,264,14,0.031,week 
265,265,14,0.027,life 
266,266,14,0.027,day 
267,267,14,0.025,woman 
268,268,14,0.019,today 
269,269,14,0.018,hour 
270,270,14,0.014,month 
271,271,14,0.014,society 
272,272,14,0.014,food 
273,273,14,0.013,age 
274,274,14,0.012,support 
275,275,14,0.011,home 
276,276,14,0.011,farmer 
277,277,14,0.009,experience 
278,278,14,0.009,morning 
279,279,14,0.009,man
280,280,15,0.117,bill 
281,281,15,0.062,order 
282,282,15,0.054,amendment 
283,283,15,0.049,clause 
284,284,15,0.041,legislation 
285,285,15,0.039,committee 
286,286,15,0.036,provision 
287,287,15,0.035,power 
288,288,15,0.027,house 
289,289,15,0.021,motion 
290,290,15,0.02,purpose 
291,291,15,0.019,time 
292,292,15,0.017,section 
293,293,15,0.014,proceeding 
294,294,15,0.013,act 
295,295,15,0.012,day 
296,296,15,0.012,paragraph 
297,297,15,0.011,relation 
298,298,15,0.01,consideration 
299,299,15,0.01,duty
300,300,16,0.11,service 
301,301,16,0.041,people 
302,302,16,0.037,health 
303,303,16,0.031,care 
304,304,16,0.022,year 
305,305,16,0.021,staff 
306,306,16,0.021,hospital 
307,307,16,0.016,authority 
308,308,16,0.016,patient 
309,309,16,0.015,number 
310,310,16,0.012,problem 
311,311,16,0.011,treatment 
312,312,16,0.011,condition 
313,313,16,0.011,access 
314,314,16,0.01,trust 
315,315,16,0.009,time 
316,316,16,0.009,doctor 
317,317,16,0.009,death 
318,318,16,0.009,emergency 
319,319,16,0.008,unit
320,320,17,0.039,system 
321,321,17,0.026,line 
322,322,17,0.022,transport 
323,323,17,0.021,area 
324,324,17,0.021,road 
325,325,17,0.019,authority 
326,326,17,0.018,safety 
327,327,17,0.018,constituent 
328,328,17,0.018,part 
329,329,17,0.017,place 
330,330,17,0.015,time 
331,331,17,0.014,reason 
332,332,17,0.013,thing 
333,333,17,0.012,power 
334,334,17,0.01,vehicle 
335,335,17,0.01,station 
336,336,17,0.01,car 
337,337,17,0.009,standard 
338,338,17,0.009,fact 
339,339,17,0.009,railway
