,Unnamed: 0,topic,fre,keywords
0,0,1,0.042,government 
1,1,1,0.033,country 
2,2,1,0.019,state 
3,3,1,0.014,secretary 
4,4,1,0.014,community 
5,5,1,0.014,today 
6,6,1,0.013,people 
7,7,1,0.011,statement 
8,8,1,0.011,action 
9,9,1,0.01,decision
10,10,2,0.038,people 
11,11,2,0.033,service 
12,12,2,0.026,child 
13,13,2,0.021,year 
14,14,2,0.019,school 
15,15,2,0.016,area 
16,16,2,0.014,problem 
17,17,2,0.014,authority 
18,18,2,0.013,number 
19,19,2,0.013,health
20,20,3,0.027,industry 
21,21,3,0.021,business 
22,22,3,0.02,policy 
23,23,3,0.019,company 
24,24,3,0.013,investment 
25,25,3,0.013,year 
26,26,3,0.012,government 
27,27,3,0.012,economy 
28,28,3,0.012,market 
29,29,3,0.012,problem
30,30,4,0.131,member 
31,31,4,0.087,friend 
32,32,4,0.036,point 
33,33,4,0.034,debate 
34,34,4,0.033,question 
35,35,4,0.03,house 
36,36,4,0.025,issue 
37,37,4,0.024,matter 
38,38,4,0.019,time 
39,39,4,0.015,parliament
40,40,5,0.081,government 
41,41,5,0.044,people 
42,42,5,0.042,year 
43,43,5,0.022,work 
44,44,5,0.017,time 
45,45,5,0.017,money 
46,46,5,0.017,tax 
47,47,5,0.016,benefit 
48,48,5,0.015,labour 
49,49,5,0.015,rate
50,50,6,0.041,bill 
51,51,6,0.029,case 
52,52,6,0.024,order 
53,53,6,0.019,amendment 
54,54,6,0.017,clause 
55,55,6,0.017,power 
56,56,6,0.016,legislation 
57,57,6,0.014,provision 
58,58,6,0.014,law 
59,59,6,0.012,police
