doc,topic1,topic2,topic3,topic4,topic5,topic6,catogory
79,0.467899367,0.038597836,0.051049085,0.327549382,0.070387728,0.044516602,1
80,0.491101741,0.010699276,0.014150748,0.452196886,0.019511398,0.012339951,4
81,0.467899367,0.038597836,0.051049085,0.066797534,0.070387728,0.305268451,0
82,0.067124603,0.097002025,0.016542074,0.021645241,0.783260785,0.014425272,5
83,0.773354603,0.001594496,0.002108864,0.218195281,0.002907753,0.001839004,4
84,0.207147518,0.038597836,0.051049085,0.588301231,0.070387728,0.044516602,4
85,0.821657493,0.025368217,0.033551732,0.043902314,0.04626195,0.029258294,0
86,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,1
87,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,1
88,0.086125196,0.007104618,0.009396492,0.060291287,0.828888336,0.008194072,5
89,0.681678586,0.009347936,0.075514473,0.205630544,0.017047069,0.010781391,4
90,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,0
91,0.365923624,0.072498929,0.01236348,0.142479552,0.395953024,0.010781391,1
92,0.346541513,0.155259505,0.086430862,0.0185162,0.308631855,0.084620066,5
93,0.113319654,0.767159845,0.01236348,0.016177567,0.080198062,0.010781391,2
94,0.515175802,0.00596033,0.007883068,0.453237119,0.010869367,0.006874313,4
95,0.69083679,0.116727779,0.019905971,0.026046888,0.129123862,0.017358709,1
96,0.792513811,0.015050758,0.019905971,0.127723909,0.027446841,0.017358709,1
97,0.223752251,0.004249315,0.12044693,0.150887417,0.380936331,0.119727756,5
98,0.116227731,0.167961147,0.028642966,0.183783623,0.478406857,0.024977676,2
99,0.368970019,0.174030378,0.008213802,0.220522707,0.011325392,0.216937703,3
100,0.912071457,0.01250734,0.016542074,0.021645241,0.022808616,0.014425272,1
101,0.053550424,0.347017391,0.215420474,0.017268062,0.355235506,0.011508141,5
102,0.207147518,0.038597836,0.051049085,0.327549382,0.331139576,0.044516602,0
103,0.191298802,0.007462803,0.312364837,0.012915149,0.013609305,0.462349104,3
104,0.401897229,0.004649753,0.006149713,0.1651064,0.165538899,0.256658006,3
105,0.418821627,0.010699276,0.014150748,0.524477,0.019511398,0.012339951,4
106,0.353764229,0.169869559,0.366881201,0.002397835,0.09612894,0.010958238,0
107,0.796288031,0.007462803,0.009870223,0.164162456,0.013609305,0.008607182,1
108,0.356656181,0.018892656,0.28024998,0.287958444,0.034452997,0.021789741,4
109,0.164304751,0.030614935,0.040490985,0.052982301,0.469474961,0.242132067,1
110,0.86684338,0.006482363,0.008573504,0.098803,0.011821357,0.007476397,1
111,0.847749788,0.021656735,0.028642966,0.037479212,0.039493622,0.024977676,1
112,0.254547794,0.379506287,0.11657919,0.119785779,0.12051679,0.009064159,2
113,0.255774023,0.009978061,0.080604742,0.017268062,0.624866971,0.011508141,5
114,0.442491527,0.105954628,0.11036174,0.023642944,0.024913691,0.29263547,3
115,0.207147518,0.038597836,0.311800933,0.327549382,0.070387728,0.044516602,0
116,0.811663323,0.105954628,0.018068791,0.023642944,0.024913691,0.015756623,1
117,0.467899367,0.038597836,0.311800933,0.066797534,0.070387728,0.044516602,1
118,0.581787157,0.00879267,0.011629092,0.015216622,0.016034476,0.366539982,3
119,0.467899367,0.038597836,0.051049085,0.066797534,0.070387728,0.305268451,4
120,0.047188652,0.246392006,0.189828594,0.13401629,0.37243348,0.010140978,5
121,0.320082956,0.116865523,0.036802835,0.417529178,0.106753436,0.001966072,4
122,0.780222199,0.010699276,0.014150748,0.0185162,0.164071626,0.012339951,1
123,0.207147518,0.038597836,0.051049085,0.327549382,0.070387728,0.305268451,4
124,0.236113974,0.01250734,0.27002613,0.444118668,0.022808616,0.014425272,4
125,0.120958291,0.009978061,0.013196876,0.017268062,0.827090569,0.011508141,5
126,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,1
127,0.106588486,0.00879267,0.843226767,0.015216622,0.016034476,0.010140978,0
128,0.230477405,0.152621232,0.004180127,0.026821204,0.582254814,0.003645218,2
129,0.34254611,0.007462803,0.009870223,0.416241301,0.013609305,0.210270259,4
130,0.082180843,0.831141381,0.008966152,0.011732176,0.058160647,0.007818801,0
131,0.467899367,0.038597836,0.051049085,0.327549382,0.070387728,0.044516602,3
132,0.522387324,0.127592338,0.189828594,0.13401629,0.016034476,0.010140978,1
133,0.779258777,0.006482363,0.052365805,0.142595301,0.011821357,0.007476397,1
134,0.201981284,0.661220305,0.014150748,0.0185162,0.091791512,0.012339951,2
135,0.57794975,0.237437435,0.040490985,0.052982301,0.055829962,0.035309567,2
136,0.467899367,0.038597836,0.051049085,0.066797534,0.070387728,0.305268451,4
137,0.12970117,0.010699276,0.014150748,0.596757115,0.236351741,0.012339951,4
138,0.080774663,0.015050758,0.223260014,0.026046888,0.637508968,0.017358709,2
139,0.542658664,0.129939657,0.022159036,0.028995015,0.030553422,0.245694207,2
140,0.073319731,0.105954628,0.018068791,0.39281474,0.394085487,0.015756623,5
141,0.101393426,0.018892656,0.024987225,0.287958444,0.544978508,0.021789741,5
142,0.728651216,0.038597836,0.051049085,0.066797534,0.070387728,0.044516602,1
143,0.065236834,0.073491782,0.097951914,0.099361888,0.659971968,0.003985614,5
144,0.455278798,0.00211964,0.017122867,0.333015702,0.046823777,0.145639217,4
145,0.373541106,0.011532874,0.015253255,0.019958826,0.021031561,0.558682378,3
146,0.152784949,0.00596033,0.088414369,0.735096672,0.010869367,0.006874313,4
147,0.96625141,0.004800547,0.006349152,0.008307841,0.008754366,0.005536684,1
148,0.285060027,0.006210395,0.008213802,0.010747729,0.640650325,0.049117721,5
149,0.336791946,0.002801646,0.382241924,0.213043611,0.024035959,0.041084913,0
150,0.120958291,0.009978061,0.215420474,0.017268062,0.624866971,0.011508141,5
151,0.02347931,0.033930043,0.005786202,0.835115101,0.096643572,0.005045772,4
152,0.207147518,0.560101534,0.051049085,0.066797534,0.070387728,0.044516602,0
153,0.166166558,0.006482363,0.052365805,0.055010698,0.493536672,0.226437904,5
154,0.625382579,0.121492605,0.05431755,0.021350751,0.004588105,0.172868411,4
155,0.307524305,0.025368217,0.033551732,0.558035502,0.04626195,0.029258294,0
156,0.431207025,0.100748374,0.03728148,0.001165295,0.428821225,0.0007766,2
157,0.555140965,0.167961147,0.028642966,0.037479212,0.185798034,0.024977676,2
158,0.12970117,0.010699276,0.809232005,0.0185162,0.019511398,0.012339951,0
159,0.316287918,0.582681148,0.022159036,0.028995015,0.030553422,0.019323461,2
160,0.478902034,0.025368217,0.033551732,0.215280044,0.217639679,0.029258294,4
161,0.164304751,0.030614935,0.660958484,0.052982301,0.055829962,0.035309567,1
162,0.153552782,0.001647744,0.091231376,0.013983101,0.348081696,0.3915033,3
163,0.203102546,0.243125029,0.022159036,0.028995015,0.483294913,0.019323461,5
164,0.207147518,0.038597836,0.051049085,0.327549382,0.070387728,0.305268451,3
165,0.123055492,0.004800547,0.427947111,0.008307841,0.430352325,0.005536684,5
166,0.120958291,0.009978061,0.013196876,0.017268062,0.759682703,0.078916007,5
167,0.207147518,0.038597836,0.051049085,0.066797534,0.331139576,0.305268451,0
168,0.429473291,0.243125029,0.022159036,0.142180388,0.030553422,0.132508834,1
169,0.707942084,0.010699276,0.014150748,0.235356543,0.019511398,0.012339951,4
170,0.467899367,0.299349685,0.051049085,0.066797534,0.070387728,0.044516602,0
171,0.658587401,0.265991396,0.016542074,0.021645241,0.022808616,0.014425272,1
172,0.405103345,0.01250734,0.016542074,0.528613353,0.022808616,0.014425272,4
173,0.086125196,0.247084684,0.009396492,0.012295274,0.636904283,0.008194072,2
174,0.320195562,0.004018594,0.005314949,0.52276746,0.115920565,0.031782869,4
175,0.223219642,0.00089802,0.353054594,0.310954305,0.110837713,0.001035726,5
176,0.131590621,0.005133513,0.145509527,0.008884073,0.702961558,0.005920709,5
177,0.310087008,0.002318869,0.003066912,0.426978077,0.239209308,0.018339827,4
178,0.467899367,0.299349685,0.051049085,0.066797534,0.070387728,0.044516602,0
179,0.526876069,0.00211964,0.203275772,0.075265526,0.190018319,0.002444675,5
180,0.679287527,0.007859021,0.010394257,0.279063179,0.014331856,0.009064159,1
181,0.101393426,0.40178679,0.024987225,0.160327066,0.289715753,0.021789741,2
182,0.78477225,0.030614935,0.040490985,0.052982301,0.055829962,0.035309567,0
183,0.291876476,0.550883768,0.050091783,0.005844016,0.097409267,0.003894691,2
184,0.894190832,0.015050758,0.019905971,0.026046888,0.027446841,0.017358709,5
