,Unnamed: 0,topic,fre,keywords
232,232,8,0.007,proceeding 
233,233,8,0.007,argument 
234,234,8,0.007,procedure 
235,235,8,0.007,house 
236,236,8,0.007,day 
237,237,8,0.006,protection 
238,238,8,0.006,effect 
239,239,8,0.006,paragraph
240,240,9,0.101,government 
241,241,9,0.045,question 
242,242,9,0.039,issue 
243,243,9,0.036,matter 
244,244,9,0.032,decision 
245,245,9,0.028,minister 
246,246,9,0.026,point 
247,247,9,0.022,statement 
248,248,9,0.02,proposal 
249,249,9,0.017,secretary 
250,250,9,0.016,view 
251,251,9,0.015,concern 
252,252,9,0.014,answer 
253,253,9,0.014,office 
254,254,9,0.012,discussion 
255,255,9,0.012,position 
256,256,9,0.012,word 
257,257,9,0.011,response 
258,258,9,0.011,policy 
259,259,9,0.011,process 
260,260,9,0.011,lady 
261,261,9,0.011,consultation 
262,262,9,0.009,change 
263,263,9,0.009,fact 
264,264,9,0.008,time 
265,265,9,0.007,comment 
266,266,9,0.007,situation 
267,267,9,0.007,hope 
268,268,9,0.007,yesterday 
269,269,9,0.007,detail
